,38.29,38.29.1,38.29.2,38.29.3,38.29.4,38.29.5,38.66,38.66.1,38.66.2,38.66.3,1
184,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,-1
187,4.46,4.09,4.46,4.09,4.09,4.09,4.46,4.09,4.09,4.09,-1
190,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,3.72,-1
192,3.72,3.72,3.72,3.72,3.35,3.35,3.35,3.35,3.35,3.35,-1
194,3.35,3.35,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,-1
196,2.97,2.97,2.6,2.97,2.6,2.6,2.6,2.6,2.6,2.6,-1
202,2.6,2.6,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,-1
229,2.97,2.97,3.35,3.35,3.35,3.72,3.72,3.72,3.72,3.72,1
230,4.46,4.83,4.83,4.83,5.2,5.58,5.58,5.58,5.58,5.95,1
231,7.06,7.06,7.06,7.06,7.81,7.81,7.81,7.81,7.81,8.18,1
232,8.92,9.29,9.29,9.29,9.29,9.67,9.67,9.67,10.04,10.04,1
233,10.78,10.78,10.78,11.15,11.15,11.52,11.52,11.52,11.52,11.52,1
234,12.27,12.27,12.64,12.64,13.01,13.01,13.01,13.01,13.38,13.38,1
235,14.13,14.13,14.13,14.13,14.5,14.87,14.87,14.87,15.24,15.24,1
236,15.99,15.99,15.99,15.99,16.36,16.36,16.36,16.73,16.73,17.1,1
238,18.59,18.96,18.96,18.96,18.96,19.33,19.33,19.33,19.7,19.33,1
239,20.07,20.07,20.07,20.07,20.07,20.45,20.45,20.45,20.45,20.45,1
240,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.56,21.56,21.56,1
241,21.93,21.93,21.93,21.93,22.3,22.3,22.3,22.3,22.3,22.3,1
242,22.68,22.68,22.68,22.68,23.05,23.05,23.05,23.05,23.05,23.05,1
243,23.42,23.42,23.42,23.42,23.79,23.79,23.79,23.79,23.79,23.79,1
244,24.16,24.16,24.16,24.16,24.16,24.54,24.54,24.54,24.54,24.54,1
245,24.54,24.91,24.91,24.91,24.91,24.91,24.91,24.91,24.91,25.28,1
246,25.28,25.28,25.28,25.65,25.65,25.65,25.65,25.65,25.65,25.65,1
247,26.02,26.02,26.02,26.02,26.02,26.02,26.02,26.39,26.02,26.39,1
